"Replicon","Enzymes","Size"
"NC_000914.2 plasmid",123,536165
"NC_000948.1 plasmid",1,30750
"NC_000949.1 plasmid",1,30223
"NC_000950.1 plasmid",1,30299
"NC_000951.1 plasmid",1,29838
"NC_000952.1 plasmid",1,30800
"NC_000953.1 plasmid",2,30885
"NC_000954.1 plasmid",1,30651
"NC_000955.2 plasmid",1,18777
"NC_000956.1 plasmid",2,52971
"NC_000957.1 plasmid",1,5228
"NC_000958.1 plasmid",42,177466
"NC_000959.1 plasmid",6,45704
"NC_001732.1 plasmid",10,58407
"NC_001733.1 plasmid",2,16550
"NC_001773.1 plasmid",0,3444
"NC_001849.2 plasmid",0,16821
"NC_001850.1 plasmid",2,24177
"NC_001851.2 plasmid",0,28155
"NC_001852.1 plasmid",3,29766
"NC_001853.1 plasmid",3,28601
"NC_001854.1 plasmid",1,27323
"NC_001855.1 plasmid",4,36849
"NC_001856.1 plasmid",0,38829
"NC_001857.2 plasmid",2,53657
"NC_001869.1 plasmid",25,191346
"NC_001880.1 plasmid",7,39456
"NC_001903.1 plasmid",5,26498
"NC_001904.1 plasmid",0,9386
"NC_001988.2 plasmid",55,192000
"NC_002127.1 plasmid",0,3306
"NC_002128.1 plasmid",4,92721
"NC_002182.1 plasmid",1,7501
"NC_002252.1 plasmid",4,7258
"NC_002253.1 plasmid",4,7786
"NC_002489.3 plasmid",0,1286
"NC_002490.1 plasmid",6,51158
"NC_002608.1 plasmid",57,365425
"NC_002679.1 plasmid",102,351911
"NC_002682.1 plasmid",52,208315
"NC_002774.1 plasmid",2,25107
"NC_003037.1 plasmid",425,1354226
"NC_003042.1 plasmid",5,54310
"NC_003064.2 plasmid",160,542868
"NC_003065.3 plasmid",59,214233
"NC_003078.1 plasmid",579,1683333
"NC_003080.1 plasmid",0,14323
"NC_003131.1 plasmid",9,70305
"NC_003132.1 plasmid",1,9612
"NC_003134.1 plasmid",19,96210
"NC_003140.1 plasmid",3,24653
"NC_003240.1 plasmid",36,186614
"NC_003241.1 plasmid",0,5584
"NC_003267.1 plasmid",16,101965
"NC_003270.1 plasmid",3,40340
"NC_003273.1 plasmid",10,55414
"NC_003276.1 plasmid",90,408101
"NC_003277.2 plasmid",11,93933
"NC_003296.1 plasmid",489,2094509
"NC_003383.1 plasmid",19,81905
"NC_003384.1 plasmid",29,218160
"NC_003385.1 plasmid",20,106516
"NC_003425.1 plasmid",1,5280
"NC_003903.1 plasmid",31,356023
"NC_003904.1 plasmid",0,31317
"NC_003921.3 plasmid",1,33700
"NC_003922.1 plasmid",4,64920
"NC_004041.2 plasmid",105,371254
"NC_004252.1 plasmid",0,10073
"NC_004253.1 plasmid",0,3661
"NC_004319.1 plasmid",1,23743
"NC_004320.1 plasmid",8,48672
"NC_004349.1 plasmid",22,161613
"NC_004554.1 plasmid",0,1346
"NC_004555.1 plasmid",0,2399
"NC_004565.1 plasmid",13,74082
"NC_004604.2 plasmid",7,53865
"NC_004632.1 plasmid",10,67473
"NC_004633.1 plasmid",11,73661
"NC_004669.1 plasmid",6,66320
"NC_004670.1 plasmid",4,17963
"NC_004671.1 plasmid",5,57660
"NC_004703.1 plasmid",2,33038
"NC_004704.2 plasmid",1,37319
"NC_004719.1 plasmid",12,94287
"NC_004720.1 plasmid",2,7966
"NC_004721.2 plasmid",4,15274
"NC_004838.1 plasmid",20,100990
"NC_004851.1 plasmid",12,221618
"NC_004923.1 plasmid",1,5424
"NC_004924.1 plasmid",1,5616
"NC_004925.1 plasmid",2,5247
"NC_004943.1 plasmid",0,3626
"NC_005003.1 plasmid",1,6585
"NC_005004.1 plasmid",4,24365
"NC_005005.1 plasmid",2,17261
"NC_005006.1 plasmid",2,8007
"NC_005007.1 plasmid",2,4679
"NC_005008.1 plasmid",0,4439
"NC_005128.1 plasmid",5,48508
"NC_005229.1 plasmid",44,119895
"NC_005230.1 plasmid",19,103307
"NC_005231.1 plasmid",12,44343
"NC_005232.1 plasmid",27,106004
"NC_005707.1 plasmid",33,208369
"NC_005813.1 plasmid",9,70159
"NC_005814.1 plasmid",3,21742
"NC_005815.1 plasmid",23,106642
"NC_005816.1 plasmid",1,9609
"NC_005838.1 plasmid",78,232605
"NC_005863.1 plasmid",48,202301
"NC_005871.1 plasmid",10,80033
"NC_005951.1 plasmid",2,20652
"NC_006128.1 plasmid",5,27108
"NC_006129.1 plasmid",2,55560
"NC_006139.1 plasmid",27,121587
"NC_006140.1 plasmid",0,14664
"NC_006153.2 plasmid",8,68525
"NC_006154.1 plasmid",5,27702
"NC_006297.1 plasmid",4,33716
"NC_006362.1 plasmid",34,184026
"NC_006363.1 plasmid",10,87093
"NC_006365.1 plasmid",43,131885
"NC_006366.1 plasmid",9,59832
"NC_006375.1 plasmid",0,1917
"NC_006376.1 plasmid",0,2365
"NC_006377.1 plasmid",4,36069
"NC_006389.1 plasmid",1,33303
"NC_006390.1 plasmid",3,33452
"NC_006391.1 plasmid",4,39521
"NC_006392.1 plasmid",6,50060
"NC_006393.1 plasmid",4,132678
"NC_006394.1 plasmid",23,155300
"NC_006395.1 plasmid",136,410554
"NC_006462.1 plasmid",93,256992
"NC_006463.1 plasmid",1,9322
"NC_006509.1 plasmid",15,47890
"NC_006529.1 plasmid",1,20417
"NC_006530.1 plasmid",8,44013
"NC_006569.1 plasmid",192,491611
"NC_006578.1 plasmid",12,77112
"NC_006625.1 plasmid",52,224152
"NC_006629.2 plasmid",0,4440
"NC_006663.1 plasmid",7,27310
"NC_006672.1 plasmid",24,163186
"NC_006673.1 plasmid",4,26568
"NC_006674.1 plasmid",1,14547
"NC_006675.1 plasmid",0,13223
"NC_006676.1 plasmid",0,2687
"NC_006823.1 plasmid",34,207355
"NC_006824.1 plasmid",62,223670
"NC_006842.1 plasmid",7,45849
"NC_006855.1 plasmid",10,49558
"NC_006856.1 plasmid",29,138742
"NC_006873.1 plasmid",3,36560
"NC_006969.2 plasmid",0,4367
"NC_006970.2 plasmid",0,2773
"NC_007103.1 plasmid",111,466370
"NC_007104.1 plasmid",0,5108
"NC_007105.1 plasmid",8,53501
