"Replicon","Enzymes","Size"
"NC_000117.1 chromosome",360,1042519
"NC_000853.1 chromosome",818,1860725
"NC_000854.2 chromosome",666,1669696
"NC_000868.1 chromosome",771,1765118
"NC_000907.1 chromosome",841,1830138
"NC_000908.2 chromosome",230,580076
"NC_000909.1 chromosome",752,1664970
"NC_000911.1 chromosome",1306,3573470
"NC_000912.1 chromosome",259,816394
"NC_000913.3 chromosome",1808,4641652
"NC_000915.1 chromosome",700,1667867
"NC_000916.1 chromosome",815,1751377
"NC_000917.1 chromosome",968,2178400
"NC_000918.1 chromosome",804,1551335
"NC_000919.1 chromosome",364,1138011
"NC_000921.1 chromosome",693,1643831
"NC_000922.1 chromosome",378,1230230
"NC_000961.1 chromosome",717,1738505
"NC_000962.3 chromosome",1508,4411532
"NC_000963.1 chromosome",401,1111523
"NC_000964.3 chromosome",1822,4215606
"NC_001263.1 chromosome",1118,2648638
"NC_001264.1 chromosome",170,412348
"NC_001318.1 chromosome",314,910724
"NC_002162.1 chromosome",233,751719
"NC_002163.1 chromosome",704,1641481
"NC_002179.2 chromosome",381,1229853
"NC_002488.3 chromosome",928,2679306
"NC_002491.1 chromosome",378,1226565
"NC_002505.1 chromosome",1108,2961149
"NC_002506.1 chromosome",309,1072315
"NC_002516.2 chromosome",1608,6264404
"NC_002528.1 chromosome",359,640681
"NC_002570.2 chromosome",1589,4202352
"NC_002578.1 chromosome",675,1564906
"NC_002607.1 chromosome",841,2014239
"NC_002620.2 chromosome",379,1072950
"NC_002662.1 chromosome",957,2365589
"NC_002663.1 chromosome",966,2257487
"NC_002677.1 chromosome",1185,3268203
"NC_002678.2 chromosome",2629,7036071
"NC_002689.2 chromosome",674,1584804
"NC_002695.2 chromosome",1892,5498578
"NC_002696.2 chromosome",1651,4016947
"NC_002737.2 chromosome",750,1852433
"NC_002745.2 chromosome",1114,2814816
"NC_002754.1 chromosome",1129,2992245
"NC_002755.2 chromosome",1895,4403837
"NC_002758.2 chromosome",1117,2878529
"NC_002771.1 chromosome",293,963879
"NC_002927.3 chromosome",1991,5339179
"NC_002928.3 chromosome",1809,4773551
"NC_002929.2 chromosome",1490,4086189
"NC_002932.3 chromosome",963,2154946
"NC_002935.2 chromosome",974,2488635
"NC_002936.3 chromosome",656,1469720
"NC_002937.3 chromosome",1113,3570858
"NC_002939.5 chromosome",1290,3814128
"NC_002940.2 chromosome",727,1698955
"NC_002942.5 chromosome",1203,3397754
"NC_002944.2 chromosome",2197,4829781
"NC_002945.4 chromosome",1868,4349904
"NC_002946.2 chromosome",886,2153922
"NC_002947.4 chromosome",2158,6181873
"NC_002950.2 chromosome",811,2343476
"NC_002951.2 chromosome",1103,2809422
"NC_002952.2 chromosome",1123,2902619
"NC_002953.3 chromosome",1095,2799802
"NC_002967.9 chromosome",820,2843201
"NC_002971.4 chromosome",695,1995488
"NC_002973.6 chromosome",1164,2905187
"NC_002976.3 chromosome",1057,2616530
"NC_002977.6 chromosome",1291,3304561
"NC_002978.6 chromosome",463,1267782
"NC_003028.3 chromosome",870,2160842
"NC_003030.1 chromosome",1446,3940880
"NC_003047.1 chromosome",1444,3654135
"NC_003062.2 chromosome",1170,2841580
"NC_003063.2 chromosome",728,2075577
"NC_003098.1 chromosome",843,2038615
"NC_003103.1 chromosome",480,1268755
"NC_003106.2 chromosome",1024,2694756
"NC_003112.2 chromosome",903,2272360
"NC_003116.1 chromosome",888,2184406
"NC_003143.1 chromosome",1621,4653728
"NC_003155.5 chromosome",3102,9025608
"NC_003197.2 chromosome",1661,4857450
"NC_003198.1 chromosome",1861,4809037
"NC_003210.1 chromosome",902,2944528
"NC_003212.1 chromosome",1179,3011208
"NC_003228.3 chromosome",1585,5205140
"NC_003272.1 chromosome",1978,6413771
"NC_003295.1 chromosome",1417,3716413
"NC_003317.1 chromosome",930,2117144
"NC_003318.1 chromosome",430,1177787
"NC_003361.3 chromosome",388,1173390
"NC_003364.1 chromosome",842,2222430
"NC_003366.1 chromosome",1133,3031430
"NC_003413.1 chromosome",829,1908256
"NC_003450.3 chromosome",1232,3309401
"NC_003485.1 chromosome",762,1895017
"NC_003551.1 chromosome",701,1694969
"NC_003552.1 chromosome",1511,5751492
"NC_003869.1 chromosome",1072,2689445
"NC_003888.3 chromosome",2228,8667507
"NC_003901.1 chromosome",1245,4096345
"NC_003902.1 chromosome",1757,5076188
"NC_003909.8 chromosome",2024,5224283
"NC_003910.7 chromosome",1769,5373180
"NC_003911.12 chromosome",1705,4109437
"NC_003912.7 chromosome",794,1777831
"NC_003919.1 chromosome",1749,5175554
"NC_003923.1 chromosome",1099,2820462
"NC_003997.3 chromosome",2006,5227293
"NC_004061.1 chromosome",372,641454
"NC_004070.1 chromosome",757,1900521
"NC_004088.1 chromosome",1606,4600755
"NC_004113.1 chromosome",1079,2593857
"NC_004116.1 chromosome",868,2160267
"NC_004129.6 chromosome",2520,7074893
"NC_004193.1 chromosome",1474,3630528
"NC_004307.2 chromosome",791,2256640
"NC_004310.3 chromosome",925,2107794
"NC_004311.2 chromosome",432,1207381
"NC_004337.2 chromosome",1356,4607202
"NC_004342.2 chromosome",1206,4338762
"NC_004343.2 chromosome",113,359372
"NC_004344.2 chromosome",368,697724
"NC_004347.2 chromosome",1607,4969811
"NC_004350.2 chromosome",839,2032925
"NC_004368.1 chromosome",854,2211485
"NC_004369.1 chromosome",1211,3147090
"NC_004431.1 chromosome",1984,5231428
"NC_004432.1 chromosome",373,1358633
"NC_004459.3 chromosome",1184,3281866
"NC_004460.2 chromosome",512,1844830
"NC_004461.1 chromosome",1032,2499279
"NC_004463.1 chromosome",3162,9105828
"NC_004545.1 chromosome",317,615980
"NC_004547.2 chromosome",1774,5064019
"NC_004551.1 chromosome",409,925938
"NC_004552.2 chromosome",379,1144377
"NC_004556.1 chromosome",892,2519802
"NC_004557.1 chromosome",1005,2799251
"NC_004567.2 chromosome",1226,3308273
"NC_004572.3 chromosome",408,927303
"NC_004578.1 chromosome",2111,6397126
"NC_004603.1 chromosome",1199,3288558
"NC_004605.1 chromosome",528,1877212
"NC_004606.1 chromosome",758,1894275
"NC_004631.1 chromosome",1863,4791961
"NC_004663.1 chromosome",1840,6260361
"NC_004668.1 chromosome",1108,3218031
"NC_004722.1 chromosome",2031,5411809
"NC_004741.1 chromosome",1772,4599354
"NC_004757.1 chromosome",1049,2812094
"NC_004829.2 chromosome",277,1012800
"NC_004842.2 chromosome",428,1197687
"NC_004917.1 chromosome",769,1799146
"NC_005027.1 chromosome",1926,7145576
"NC_005042.1 chromosome",848,1751080
"NC_005043.1 chromosome",382,1225935
"NC_005061.1 chromosome",386,705557
"NC_005070.1 chromosome",1061,2434428
"NC_005071.1 chromosome",962,2410873
"NC_005072.1 chromosome",835,1657990
"NC_005085.1 chromosome",1698,4751080
"NC_005090.1 chromosome",862,2110355
"NC_005125.1 chromosome",1702,4659019
"NC_005126.1 chromosome",1664,5688987
"NC_005139.1 chromosome",1235,3354505
"NC_005140.1 chromosome",510,1857073
"NC_005295.2 chromosome",422,1516355
"NC_005362.1 chromosome",735,1992676
"NC_005363.1 chromosome",1170,3782950
"NC_005364.2 chromosome",357,1211703
"NC_005773.3 chromosome",2033,5928787
"NC_005791.1 chromosome",742,1661137
"NC_005810.1 chromosome",1608,4595065
"NC_005823.1 chromosome",1183,4277185
"NC_005824.1 chromosome",113,350181
"NC_005835.1 chromosome",953,1894877
"NC_005861.2 chromosome",654,2438912
"NC_005877.1 chromosome",722,1545895
"NC_005945.1 chromosome",2007,5228663
"NC_005955.1 chromosome",597,1581384
"NC_005956.1 chromosome",632,1931047
"NC_005957.1 chromosome",2011,5237682
"NC_005966.1 chromosome",1419,3598621
"NC_006055.1 chromosome",310,793224
"NC_006085.1 chromosome",1026,2560265
"NC_006086.1 chromosome",754,1899877
"NC_006087.1 chromosome",1005,2584158
"NC_006138.1 chromosome",1134,3523383
"NC_006142.1 chromosome",399,1111496
"NC_006155.1 chromosome",1617,4744671
"NC_006156.1 chromosome",313,904246
"NC_006177.1 chromosome",1339,3566135
"NC_006270.3 chromosome",1663,4222597
"NC_006274.1 chromosome",2009,5300915
"NC_006300.1 chromosome",1019,2314078
"NC_006322.1 chromosome",1662,4222645
"NC_006347.1 chromosome",1602,5277274
"NC_006348.1 chromosome",1322,3510148
"NC_006349.2 chromosome",712,2325379
"NC_006350.1 chromosome",1463,4074542
"NC_006351.1 chromosome",906,3173005
"NC_006360.1 chromosome",245,892758
"NC_006361.1 chromosome",2305,6021225
"NC_006368.1 chromosome",1208,3503610
"NC_006369.1 chromosome",1164,3345687
"NC_006370.1 chromosome",1339,4085304
"NC_006371.1 chromosome",579,2237943
"NC_006396.1 chromosome",1107,3131724
"NC_006397.1 chromosome",63,288050
"NC_006448.1 chromosome",775,1796846
"NC_006449.1 chromosome",783,1796226
"NC_006461.1 chromosome",946,1849742
"NC_006510.1 chromosome",1443,3544776
"NC_006511.1 chromosome",1833,4585229
"NC_006512.1 chromosome",1158,2839318
"NC_006513.1 chromosome",1622,4296230
"NC_006526.2 chromosome",844,2056363
"NC_006570.2 chromosome",825,1892775
"NC_006576.1 chromosome",1117,2696255
"NC_006582.1 chromosome",1642,4303871
"NC_006624.1 chromosome",809,2088737
"NC_006677.1 chromosome",1070,2702173
"NC_006814.3 chromosome",781,1993560
"NC_006831.1 chromosome",414,1499920
"NC_006832.1 chromosome",422,1512977
"NC_006833.1 chromosome",400,1080084
"NC_006834.1 chromosome",1555,4941439
"NC_006840.2 chromosome",1120,2897536
"NC_006841.2 chromosome",343,1330333
"NC_006905.1 chromosome",1868,4755700
"NC_006908.1 chromosome",284,777079
"NC_006932.1 chromosome",930,2124241
"NC_006933.1 chromosome",419,1162204
"NC_006958.1 chromosome",1233,3282708
"NC_007005.1 chromosome",2059,6093698
"NC_007086.1 chromosome",1770,5148708
"NC_007146.2 chromosome",844,1914490
"NC_007164.1 chromosome",948,2462499
"NC_007168.1 chromosome",1094,2685015
"NC_007181.1 chromosome",943,2225959
"NC_007204.1 chromosome",995,2650701
"NC_007205.1 chromosome",722,1308759
"NC_007292.1 chromosome",411,791654
"NC_007294.1 chromosome",265,799476
"NC_007295.1 chromosome",252,897405
"NC_007296.2 chromosome",737,1897578
